PlantSpecies,FungalGenus,PlantFamily,PLANTLIFEHISTORY,FUNGROUP,LOCATION,DOMESTICATED,Plant_Lat,Plant_Long,Fung_Lat,Fung_Long,Soil_Lat,Soil_Long
catharanthus_roseus,NA,apocynaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
catharanthus_roseus,NA,apocynaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
catharanthus_roseus,NA,apocynaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
catharanthus_roseus,NA,apocynaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
catharanthus_roseus,NA,apocynaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
catharanthus_roseus,NA,apocynaceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
chrysanthemum_morifolium,NA,asteraceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
chrysanthemum_morifolium,NA,asteraceae,perennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
citrus_reticulata,funneliformis,rutaceae,perennial,nonNwood,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
citrus_reticulata,funneliformis,rutaceae,perennial,nonNwood,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
lactuca_sativa,funneliformis,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,52.283333,0.433333,37.17631,-3.599815
impatiens_balsamina,NA,balsaminaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
lactuca_sativa,rhizophagus,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
lactuca_sativa,rhizophagus,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
lactuca_sativa,rhizophagus,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
lactuca_sativa,rhizophagus,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
lactuca_serriola,rhizophagus,asteraceae,annual_biennial,nonNforb,lab,WILD,NA,NA,NA,NA,NA,NA
lactuca_serriola,rhizophagus,asteraceae,annual_biennial,nonNforb,lab,WILD,NA,NA,NA,NA,NA,NA
lactuca_serriola,rhizophagus,asteraceae,annual_biennial,nonNforb,lab,WILD,NA,NA,NA,NA,NA,NA
lactuca_serriola,rhizophagus,asteraceae,annual_biennial,nonNforb,lab,WILD,NA,NA,NA,NA,NA,NA
litchi_chinensis,NA,sapindaceae,perennial,nonNwood,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
litchi_chinensis,rhizophagus,sapindaceae,perennial,nonNwood,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
litchi_chinensis,gigaspora,sapindaceae,perennial,nonNwood,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
nicotiana_tabacum,funneliformis,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
nicotiana_tabacum,funneliformis,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
nicotiana_tabacum,funneliformis,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
nicotiana_tabacum,funneliformis,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
nicotiana_tabacum,funneliformis,solanaceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
lactuca_sativa,funneliformis,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,52.283333,0.433333,37.17631,-3.599815
lactuca_sativa,funneliformis,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,52.283333,0.433333,37.17631,-3.599815
lactuca_sativa,funneliformis,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,52.283333,0.433333,37.17631,-3.599815
tagetes_erecta,funneliformis,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
tagetes_erecta,rhizophagus,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
tagetes_erecta,glomus,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
tagetes_erecta,gigaspora,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
tagetes_erecta,glomus,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
tagetes_erecta,gigaspora,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
tagetes_erecta,funneliformis,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
tagetes_erecta,rhizophagus,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
tagetes_erecta,glomus,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
tagetes_erecta,gigaspora,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
tagetes_erecta,funneliformis,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
tagetes_erecta,rhizophagus,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
tagetes_erecta,glomus,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
tagetes_erecta,gigaspora,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
tagetes_erecta,funneliformis,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
tagetes_erecta,rhizophagus,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
tagetes_erecta,glomus,asteraceae,annual_biennial,nonNforb,lab,DOMESTICATED,NA,NA,NA,NA,NA,NA
